n_episode :5020, score : 475.6, n_buffer : 50000, eps : 1.0%
n_episode :5040, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :5060, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :5080, score : 456.6, n_buffer : 50000, eps : 1.0%
n_episode :5100, score : 442.2, n_buffer : 50000, eps : 1.0%
n_episode :5120, score : 322.4, n_buffer : 50000, eps : 1.0%
n_episode :5140, score : 413.9, n_buffer : 50000, eps : 1.0%
n_episode :5160, score : 471.4, n_buffer : 50000, eps : 1.0%
n_episode :5180, score : 371.6, n_buffer : 50000, eps : 1.0%
n_episode :5200, score : 426.1, n_buffer : 50000, eps : 1.0%
n_episode :5220, score : 474.9, n_buffer : 50000, eps : 1.0%
n_episode :5240, score : 443.4, n_buffer : 50000, eps : 1.0%
n_episode :5260, score : 488.2, n_buffer : 50000, eps : 1.0%
n_episode :5280, score : 462.5, n_buffer : 50000, eps : 1.0%
n_episode :5300, score : 395.4, n_buffer : 50000, eps : 1.0%
n_episode :5320, score : 279.7, n_buffer : 50000, eps : 1.0%
n_episode :5340, score : 286.3, n_buffer : 50000, eps : 1.0%
n_episode :5360, score : 448.9, n_buffer : 50000, eps : 1.0%
n_episode :5380, score : 431.0, n_buffer : 50000, eps : 1.0%
n_episode :5400, score : 457.5, n_buffer : 50000, eps : 1.0%
n_episode :5420, score : 486.2, n_buffer : 50000, eps : 1.0%
n_episode :5440, score : 473.7, n_buffer : 50000, eps : 1.0%
n_episode :5460, score : 356.4, n_buffer : 50000, eps : 1.0%
n_episode :5480, score : 315.4, n_buffer : 50000, eps : 1.0%
n_episode :5500, score : 459.9, n_buffer : 50000, eps : 1.0%
n_episode :5520, score : 438.2, n_buffer : 50000, eps : 1.0%
n_episode :5540, score : 470.4, n_buffer : 50000, eps : 1.0%
n_episode :5560, score : 487.4, n_buffer : 50000, eps : 1.0%
n_episode :5580, score : 448.2, n_buffer : 50000, eps : 1.0%
n_episode :5600, score : 434.0, n_buffer : 50000, eps : 1.0%
n_episode :5620, score : 456.4, n_buffer : 50000, eps : 1.0%
n_episode :5640, score : 451.5, n_buffer : 50000, eps : 1.0%
n_episode :5660, score : 446.1, n_buffer : 50000, eps : 1.0%
n_episode :5680, score : 433.6, n_buffer : 50000, eps : 1.0%
n_episode :5700, score : 359.9, n_buffer : 50000, eps : 1.0%
n_episode :5720, score : 414.6, n_buffer : 50000, eps : 1.0%
