n_epn_episode : 6200, score : 2,n_episode : 6220, score : 179.7, n_buffer : 50000, eps : 1.01,n_episode : 6240, score : 222.8, n_buffer : 50000, eps : 1.06,n_episode : 6260, score : 256.9, n_buffer : 50000, eps : 1.01,n_episode : 6280, score : 180.6, n_buffer : 50000, eps : 1.04,n_episode : 6300, score : 232.4, n_buffer : 50000, eps : 1.09,n_episode : 6320, score : 247.2, n_buffer : 50000, eps : 1.04,n_episode : 6340, score : 179.1, n_buffer : 50000, eps : 1.00,n_episode : 6360, score : 219.1, n_buffer : 50000, eps : 1.02,n_episode : 6380, score : 207.7, n_buffer : 50000, eps : 1.06,n_episode : 6400, score : 133.4, n_buffer : 50000, eps : 1.04,n_episode : 6420, score : 182.8, n_buffer : 50000, eps : 1.02,n_episode : 6440, score : 192.8, n_buffer : 50000, eps : 1.08,n_episode : 6460, score : 139.3, n_buffer : 50000, eps : 1.08,n_episode : 6480, score : 241.7, n_buffer : 50000, eps : 1.02,n_episode : 6500, score : 318.8, n_buffer : 50000, eps : 1.0, n_epn_episode : 6200, score : 2,n_episode : 6220, score : 17, n_buffer : 50000, eps : 1.0%
n_episode : 6860, score : 248.4, n_buffer : 50000, eps : 1.0%
n_episode : 6880, score : 309.4, n_buffer : 50000, eps : 1.0%
n_episode : 6900, score : 281.9, n_buffer : 50000, eps : 1.0%
n_episode : 6920, score : 260.1, n_buffer : 50000, eps : 1.0%
n_episode : 6940, score : 251.2, n_buffer : 50000, eps : 1.0%
n_episode : 6960, score : 249.3, n_buffer : 50000, eps : 1.0%
n_episode : 6980, score : 278.1, n_buffer : 50000, eps : 1.0%
n_episode : 7000, score : 281.2, n_buffer : 50000, eps : 1.0%
n_episode : 7020, score : 245.4, n_buffer : 50000, eps : 1.0%
n_episode : 7040, score : 208.9, n_buffer : 50000, eps : 1.0%
n_episode : 7060, score : 201.3, n_buffer : 50000, eps : 1.0%
n_episode : 7080, score : 196.3, n_buffer : 50000, eps : 1.0%
n_episode : 7100, score : 165.6, n_buffer : 50000, eps : 1.0%
n_episode : 7120, score : 266.0, n_buffer : 50000, eps : 1.0%
n_episode : 7140, score : 305.1, n_buffer : 50000, eps : 1.0%
n_episode : 7160, score : 356.0, n_buffer : 50000, eps : 1.0%
n_en_episode : 6860, score : 22,n_episode : 6880, score : 309.4, n_buffer : 50000, eps : 1.07,n_episode : 6900, score : 281.9, n_buffer : 50000, eps : 1.08,n_episode : 6920, score : 260.1, n_buffer : 50000, eps : 1.01,n_episode : 6940, score : 251.2, n_buffer : 50000, eps : 1.00,n_episode : 6960, score : 249.3, n_buffer : 50000, eps : 1.05,n_episode : 6980, score : 278.1, n_buffer : 50000, eps : 1.01,n_episode : 7000, score : 281.2, n_buffer : 50000, eps : 1.02,n_episode : 7020, score : 245.4, n_buffer : 50000, eps : 1.07,n_episode : 7040, score : 208.9, n_buffer : 50000, eps : 1.09,n_episode : 7060, score : 201.3, n_buffer : 50000, eps : 1.03,n_episode : 7080, score : 196.3, n_buffer : 50000, eps : 1.08,n_episode : 7100, score : 165.6, n_buffer : 50000, eps : 1.03,n_episode : 7120, score : 266.0, n_buffer : 50000, eps : 1.07,n_episode : 7140, score : 305.1, n_buffer : 50000, eps : 1.03,n_episode : 7160, score : 356.0, n_buffer : 50000, eps : 1.06,n_en_episode : 6860, score : 22,n_episode : 6880, score : 30, n_buffer : 50000, eps : 1.0%
n_episode : 7520, score : 100.7, n_buffer : 50000, eps : 1.0%
n_episode : 7540, score : 37.2, n_buffer : 50000, eps : 1.0%
n_episode : 7560, score : 130.8, n_buffer : 50000, eps : 1.0%
n_episode : 7580, score : 76.2, n_buffer : 50000, eps : 1.0%
n_episode : 7600, score : 95.9, n_buffer : 50000, eps : 1.0%
n_episode : 7620, score : 261.4, n_buffer : 50000, eps : 1.0%
n_episode : 7640, score : 148.3, n_buffer : 50000, eps : 1.0%
n_episode : 7660, score : 144.7, n_buffer : 50000, eps : 1.0%
n_episode : 7680, score : 185.2, n_buffer : 50000, eps : 1.0%
n_episode : 7700, score : 235.4, n_buffer : 50000, eps : 1.0%
n_episode : 7720, score : 165.4, n_buffer : 50000, eps : 1.0%
n_episode : 7740, score : 121.4, n_buffer : 50000, eps : 1.0%
n_episode : 7760, score : 145.6, n_buffer : 50000, eps : 1.0%
n_episode : 7780, score : 142.2, n_buffer : 50000, eps : 1.0%
n_episode : 7800, score : 168.2, n_buffer : 50000, eps : 1.0%
n_episode : 7820, score : 117.5, n_buffer : 50000, eps : 1.0%
